"","cve_ent","ent","hab","padron","ln","fecha_limite_congreso","seguidores_tw","seguidores_fb","n_dip","n_dip_mr","n_dip_rp","n_part","part_mayoritario","sh_part_mayoritario","status_congreso","votos_reformas","dip_pri","dip_pan","dip_prd","dip_pvem","dip_morena","dip_mc","dip_na","dip_pt","dip_pes","dip_partloc","dip_indep","duracion_dips","diputados","diputadas","presupuesto_2012","presupuesto_2013","presupuesto_2014","presupuesto_2015","presupuesto_2016","presupuesto_2017","crecimiento_pres_12_17","crecimiento_pres_16_17","pes_2017","presupuesto_fiscalia_17","iniciativas_dips_2016","iniciativas_gober_16","iniciativas_ciudadanas_16","iniciativas_aprobadas_gober_16","reformas_aprobadas_16","solicitudes_16","existe_padron_cabilderos"
"20","20","Oaxaca",4061497.0204823,2799239,2738827,"LXIII",NA,NA,42,25,17,8,"PRI",0.380952380952381,"Dividido","Dos terceras partes",16,4,8,1,8,0,0,3,1,1,0,6,23,19,406100999.94,466677883.04,329990255.71,6.05e+08,6.05e+08,397297350,-0.173112089571792,-0.364659352014579,62219484765,71300000,86,23,12,1,4,193,"sin padrón de cabilderos"
"21","21","Puebla",6313789.10200174,4318277,4251664,"LIX",20900,4581,41,26,15,9,"PAN",0.317073170731707,"Dividido","Dos terceras partes",8,13,4,2,0,1,4,2,0,6,1,12,29,12,158297128.8,168190904.47,166832062,147821569,144085371,145071987,-0.225403456503396,-0.025885476771318,78366979720,154376219,406,67,0,62,3,280,"sin padrón de cabilderos"
"22","22","Querétaro",2063148.03009014,1513272,1489506,"LVIII",NA,4757,25,15,10,6,"PAN",0.52,"Mayoría simple","Dos terceras partes",8,13,1,1,1,0,1,0,0,0,0,12,12,13,226982461,238331584,281010577,352510560,299633976,283206860,0.0545726439189393,-0.0855519046919484,31010709856,77820962,144,12,0,11,10,114,"sin padrón de cabilderos"
"23","23","Quintana Roo",1664666.55299483,1140977,1119970,"XV",11700,13604,25,15,10,7,"PRI / PAN",0.24,"Dividido","Dos terceras partes",6,6,3,5,1,0,1,0,1,0,2,6,14,11,317138239,338941446,338941446,340767863,340767863,435872332,0.161651144482553,0.237505162293918,26416504961,110157168,7,4,0,27,6,258,"sin padrón de cabilderos"
"24","24","San Luis Potosí",2801839.36700417,1918252,1883411,"LXI",9117,10541,27,15,12,9,"PRI",0.296296296296296,"Dividido","Dos terceras partes",8,7,4,2,1,1,2,1,0,1,0,12,18,9,227840771,243614841,251386404,259361797,283517123,293068050,0.0871815308916796,8.18128702224903e-05,41580892804,215649332,502,20,16,11,8,266,"sin padrón de cabilderos"
"25","25","Sinaloa",3034942.31785293,2073656,2046857,"LXII",1802,4083,40,24,16,7,"PRI",0.525,"Mayoría simple","Dos terceras partes",21,7,1,1,2,0,2,0,0,6,0,12,22,18,247484287,247356797,273014624,290453155,292453155,292453155,-0.00121108567071756,-0.0325103048606294,47983616386,91458660,159,14,219,13,1,211,"sin padrón de cabilderos"
"26","26","Sonora",3011809.62165666,2030896,2003204,"LXI",9590,5390,33,21,12,6,"PRI",0.454545454545455,"Dividido","Dos terceras partes",15,13,1,0,1,1,2,0,0,0,0,12,20,13,329500000,402015000,693911500,563841500,6.1e+08,660360822.25,0.693912268890298,0.0473644108207157,56451879944,172140257.75,37,5,0,4,8,457,"sin padrón de cabilderos"
"27","27","Tabasco",2431339.4438823,1659687,1635716,"LXII",11400,3394,35,21,14,7,"PRD",0.542857142857143,"Mayoría simple","Dos terceras partes",6,1,19,5,2,1,0,1,0,0,0,12,23,12,263009124,NA,290326646,315326646,325326646,334060313,0.0735421529732471,-0.00653723155977597,46843466730,71395071,80,14,0,9,1,326,"sin padrón de cabilderos"
"28","28","Tamaulipas",3622604.62909358,2549933,2514823,"LXIII",4047,8707,36,22,14,6,"PAN",0.555555555555556,"Mayoría simple","Dos terceras partes",11,20,0,1,1,1,2,0,0,0,0,6,20,16,120605850,129695223,129695223,134883000,140278000,155863000,0.0922943575465794,0.0749785879005099,46329478425,76328000,103,19,0,33,6,188,"sin padrón de cabilderos"
"29","29","Tlaxcala",1313067.14847294,887394,875160,"LXII",97,2031,25,15,10,9,"PRI",0.24,"Dividido","Dos terceras partes",6,4,5,2,1,0,2,1,0,3,1,12,18,7,173485635.12,176087919.65,176087919.65,183191119,190191000,1.7e+08,-0.171770998283296,-0.135220656215631,17051457400,5e+07,4,10,1,8,2,228,"sin padrón de cabilderos"
"30","30","Veracruz",8163963.01873312,5607267,5585116,"LXIV",12400,7760,50,30,20,5,"PAN",0.32,"Dividido","Dos terceras partes",9,16,5,1,12,0,0,0,0,0,7,12,31,19,5.01e+08,541850000,577300000,6.16e+08,676900000,676900000,0.141962443313186,-0.0325103048606293,101988714762,1.79e+08,50,21,0,NA,12,251,"sin respuesta"
"31","31","Yucatán",2172838.64450477,1485201,1466305,"LXI",9887,6391,25,15,10,6,"PRI",0.52,"Mayoría simple","Dos terceras partes",13,8,1,1,1,0,1,0,0,0,0,12,16,9,110250000,NA,121728900,127815450,132928068,141767000,0.086829915093001,0.0318220498835741,39922727687,65211236,38,23,0,21,3,261,"sin padrón de cabilderos"
"32","32","Zacatecas",1600411.66351093,1132920,1110917,"LXII",NA,3581,30,18,12,7,"PRI",0.366666666666667,"Dividido","Dos terceras partes",11,3,2,3,6,0,2,2,0,0,1,6,14,16,251995618,275477367,275477367,288180141,292374085,288216656,-0.0333013344006693,-0.0462675765277593,35030593697,118065245,83,11,0,8,1,118,"sin padrón de cabilderos"
